"","Sample","Station","Depth","year","Latitude","Longitude","PelagicLayer","PO4","NO2","NO3","NH4","Chl","Si","Salinity","WaterMass"
"43","M19_37","KB5",12,2019,78.9,12.44,"Epipelagic",0.34,0.2,1,NA,0.13,3.4,32.796,"SW"
"44","M19_40","KB5",65,2019,78.9,12.44,"Epipelagic",0.37,0.3,2.8,NA,0,4.4,34.937,"AW"
"45","M19_44","KB2",1,2019,78.98,11.73,"Epipelagic",0.11,0,0.1,NA,0.164,1.7,33.999,"SW"
"46","M19_46","KB2",13,2019,78.98,11.73,"Epipelagic",0.2,0,0.2,NA,0.476,1.6,34.135,"IW"
"47","M19_48","KB2",290,2019,78.98,11.73,"Mesopelagic",0.79,0.4,9.1,NA,NA,7.2,34.978,"TAW"
"48","M19_5","KB3",15,2019,78.95,11.96,"Epipelagic",0.16,0.06,0.7,NA,0.559,1.5,34.221,"IW"
"49","M19_50","KB1",1,2019,79.01,11.43,"Epipelagic",0.1,0,0.1,NA,0.727,1,33.748,"SW"
"50","M19_52","KB1",14,2019,79.01,11.43,"Epipelagic",0.15,0,0,NA,0.817,1.3,34.241,"IW"
"51","M19_54","KB1",340,2019,79.01,11.43,"Mesopelagic",0.78,0.44,8.9,NA,NA,7,34.978,"TAW"
"52","M19_56","KB0",5,2019,79.05,11.14,"Epipelagic",0.09,0,0,NA,0.789,1.2,32.666,"SW"
"53","M19_60","KB0",14,2019,79.05,11.14,"Epipelagic",0.11,0,0,NA,1.033,1.4,33.7,"SW"
"54","M19_62","KB0",320,2019,79.05,11.14,"Mesopelagic",0.78,0.32,10.1,NA,NA,6.8,34.967,"TAW"
"55","M19_64","V12",5,2019,78.98,9.51,"Epipelagic",0.11,0,0.1,NA,0.054,0.7,34.754,"AW"
"56","M19_66","V12",28,2019,78.98,9.51,"Epipelagic",0.16,0.06,0.4,NA,NA,1.9,34.802,"AW"
"57","M19_70","V12",215,2019,78.98,9.51,"Mesopelagic",0.7,0.44,7.3,NA,NA,5.4,34.994,"AW"
"58","M19_72","V10",5,2019,78.93,8.55,"Epipelagic",0.25,0.07,1.7,NA,0.133,2.7,34.985,"AW"
"59","M19_76","V10",25,2019,78.93,8.55,"Epipelagic",0.44,0.16,5.1,NA,0.45,3.8,34.999,"AW"
"60","M19_79","V10",260,2019,78.93,8.55,"Mesopelagic",0.75,0.14,11.7,NA,NA,5.7,34.989,"AW"
"61","M19_81","V6",5,2019,78.91,7.77,"Epipelagic",0.23,0.06,0.9,NA,0.019,1.8,35.092,"AW"
"62","M19_84","V6",25,2019,78.91,7.77,"Epipelagic",0.33,0.09,2.2,NA,0.436,2.8,35.024,"AW"
"63","M19_88","V6",1100,2019,78.91,7.77,"Bathypelagic",0.99,0,16.2,NA,NA,13.8,34.919,"WCW"
"64","M19_9","KB3",300,2019,78.95,11.96,"Mesopelagic",0.81,0.4,9.6,NA,NA,7.4,34.985,"TAW"
"65","M19_91","KH",5,2019,79.05,7,"Epipelagic",0.17,0.07,0.3,NA,0.237,2,35.016,"AW"
"66","M19_93","KH",25,2019,79.05,7,"Epipelagic",0.18,0,0.1,NA,0.548,1.9,35.014,"AW"
"67","M19_96","KH",1300,2019,79.05,7,"Bathypelagic",0.99,0,15.6,NA,NA,13.2,34.919,"WCW"
"68","M20-14","KB6",50,2020,78.93,12.39,"Epipelagic",0.27,0.1,1.12,2.19,0.031,2.1,34.671,"TAW"
"69","M20-18","KB6",5,2020,78.93,12.39,"Epipelagic",0.21,0.07,1.37,1.86,0.31,3.3,29.259,"SW"
"70","M20-19","KB3",339,2020,78.95,11.96,"Mesopelagic",0.75,0.42,7.2,2.19,NA,6.1,34.728,"LW"
"71","M20-21","KB3",25,2020,78.95,11.96,"Epipelagic",0.3,0.13,1.66,1.46,0.326,1.9,34.417,"IW"
"72","M20-24","KB3",5,2020,78.95,11.96,"Epipelagic",0.14,0.06,0.59,1.5,0.308,2.8,30.066,"SW"
"73","M20-25","KB0",322,2020,79.05,11.14,"Mesopelagic",0.66,0.43,6.56,1.73,NA,4.2,34.758,"LW"
"74","M20-28","KB0",17,2020,79.05,11.14,"Epipelagic",0.08,0.11,0.1,0.52,1.019,1.1,34.206,"IW"
"75","M20-30","KB0",5,2020,79.05,11.14,"Epipelagic",0.06,0.08,0.07,0.45,0.492,0.7,34.079,"IW"
"76","M20-31","V12",200,2020,78.98,9.51,"Mesopelagic",0.63,0.54,6.4,1.83,NA,3.2,34.811,"TAW"
"77","M20-33","V12",20,2020,78.98,9.51,"Epipelagic",0.5,0.24,4.57,0.9,1.406,3.2,34.788,"AW"
"78","M20-35","V12",5,2020,78.98,9.51,"Epipelagic",0.16,0.06,0,0.45,0.306,1,34.219,"IW"
"79","M20-37","V10",290,2020,78.93,8.55,"Mesopelagic",0.72,0.23,9.57,0.81,NA,4.7,34.859,"TAW"
"80","M20-39","V10",25,2020,78.93,8.55,"Epipelagic",0.28,0.18,2.19,0.85,1.377,1.3,34.869,"AW"
"81","M20-41","V10",5,2020,78.93,8.55,"Epipelagic",0.07,0,0,0.43,0.513,0.8,34.785,"AW"
"82","M20-43","KH",1324,2020,79.05,7,"Bathypelagic",1.04,0,15.81,0.28,NA,13.1,34.913,"WCW"
"83","M20-45","KH",15,2020,79.05,7,"Epipelagic",0.37,0.17,3.71,0.75,0.756,1.8,34.913,"AW"
"84","M20-47","KH",5,2020,79.05,7,"Epipelagic",0.15,0.1,0.39,0.96,0.569,1,34.891,"AW"
"85","M20-49","HG-IV",2443,2020,79.07,4.18,"Bathypelagic",1.02,0,15.22,0.41,NA,12,34.923,"WCW"
"86","M20-51","HG-IV",25,2020,79.07,4.18,"Epipelagic",0.45,0.17,3.49,2.01,0.617,3.2,34.917,"AW"
"87","M20-53","HG-IV",5,2020,79.07,4.18,"Epipelagic",0,0,0,0.69,0.632,0.8,34.01,"IW"
"88","m18_11","KB7",1,2018,78.97,12.38,"Epipelagic",NA,NA,NA,NA,0.087,NA,31.67,"SW"
"89","m18_12","KB7",5,2018,78.97,12.38,"Epipelagic",NA,NA,NA,NA,0.027,NA,31.67,"SW"
"90","m18_13","KB7",58,2018,78.97,12.38,"Epipelagic",0.27,0,3.3,NA,0.008,2.1,34.601,"IW"
"91","m18_14","KB6",1,2018,78.93,12.39,"Epipelagic",0.19,0.14,1.5,NA,0.038,2.3,32.266,"SW"
"92","m18_15","KB6",1,2018,78.93,12.39,"Epipelagic",0.19,0.14,1.5,NA,0.038,2.3,32.266,"SW"
"93","m18_16","KB6",15,2018,78.93,12.39,"Epipelagic",0.22,0.15,1.7,NA,0.062,1.9,33.642,"SW"
"94","m18_17","KB6",43,2018,78.93,12.39,"Epipelagic",0.25,0.18,1.5,NA,0.01,1.4,34.422,"IW"
"95","m18_18","KB5",1,2018,78.9,12.44,"Epipelagic",0.17,0.12,1.1,NA,0.243,2.2,32.388,"SW"
"96","m18_19","KB5",12,2018,78.9,12.44,"Epipelagic",0.13,0.08,0.4,NA,0.146,1.6,33.617,"SW"
"97","m18_20","KB5",75,2018,78.9,12.44,"Epipelagic",0.43,0.34,4.3,NA,0.008,2.3,34.592,"LW"
"98","m18_21","KB3",5,2018,78.95,11.96,"Epipelagic",0.15,0.07,0.2,NA,0.928,1.3,33.223,"SW"
"99","m18_22","KB3",300,2018,78.95,11.96,"Mesopelagic",0.68,0.42,7.7,NA,NA,4.7,34.799,"TAW"
"100","m18_23","KB2",5,2018,78.98,11.73,"Epipelagic",0.15,0.09,0.2,NA,1.103,1.3,33.156,"SW"
"101","m18_24","KB2",300,2018,78.98,11.73,"Mesopelagic",0.42,0.17,3.1,NA,NA,1.9,34.804,"TAW"
"102","m18_25","KB1",1,2018,79.01,11.43,"Epipelagic",0.21,0.08,0,NA,1.326,1,33.501,"SW"
"103","m18_26","KB1",8,2018,79.01,11.43,"Epipelagic",0.16,0.08,0.1,NA,0.54,0.9,33.569,"SW"
"104","m18_27","KB1",340,2018,79.01,11.43,"Mesopelagic",0.69,0.36,8.1,NA,NA,4.6,34.799,"TAW"
"105","m18_28","KB0",5,2018,79.05,11.14,"Epipelagic",0.2,0.1,0.1,NA,0.578,1.2,34.099,"IW"
"106","m18_29","KB0",18,2018,79.05,11.14,"Epipelagic",0.17,0.09,0.1,NA,0.624,1.3,34.347,"IW"
"107","m18_30","KB0",300,2018,79.05,11.14,"Mesopelagic",0.71,0.33,8.8,NA,NA,4.9,34.81,"TAW"
"108","m18_31","V12",5,2018,78.98,9.51,"Epipelagic",0.2,0.08,0.1,NA,1.33,2.2,34.847,"AW"
"109","m18_32","V12",25,2018,78.98,9.51,"Epipelagic",0.1,0.06,0.1,NA,0.769,2.2,34.89,"AW"
"110","m18_33","V12",200,2018,78.98,9.51,"Mesopelagic",0.7,0.36,9,NA,NA,4.2,34.873,"TAW"
"111","m18_34","V6",5,2018,78.91,7.77,"Epipelagic",0.77,0.19,11.6,NA,1.95,4.8,35.028,"AW"
"112","m18_35","V6",11,2018,78.91,7.77,"Epipelagic",0.36,0.17,3.6,NA,1.706,2.7,35.027,"AW"
"113","m18_36","V6",1100,2018,78.91,7.77,"Bathypelagic",1,0.08,15.3,NA,NA,13.3,34.908,"WCW"
"114","m18_37","V10",5,2018,78.93,8.55,"Epipelagic",NA,NA,NA,NA,2.112,NA,34.961,"AW"
"115","m18_38","V10",15,2018,78.93,8.55,"Epipelagic",0.19,0,0.2,NA,2.186,2.4,34.965,"AW"
"116","m18_39","V10",290,2018,78.93,8.55,"Mesopelagic",0.78,0.15,11.9,NA,NA,4.8,34.999,"AW"
"117","m18_41","V12",5,2018,78.98,9.51,"Epipelagic",0.2,0.08,0.1,NA,1.33,2.2,34.847,"AW"
